product_url,product_name,product_category_tree,pid,retail_price,discounted_price,Date
http://www.flipkart.com/willy-winkies-black-boots/p/itme4jces9nbqqgp?pid=SHOE4JCEZDRSHC4S,Willy Winkies Black Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOE4JCEZDRSHC4S,1499,1029,10-01-2022
http://www.flipkart.com/marvel-dw100243-digital-watch-boys-girls/p/itme3gezjyzdheff?pid=WATE3GEYE8JQT7WM,"Marvel DW100243 Digital Watch  - For Boys, Girls","[""Watches >> Wrist Watches >> Marvel Wrist Watches""]",WATE3GEYE8JQT7WM,299,329,10-01-2022
http://www.flipkart.com/djh-boots/p/itmebn3fewjvq5ue?pid=SHOEBN3FFYG75P3D,DJH Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOEBN3FFYG75P3D,999,529,10-01-2022
http://www.flipkart.com/franck-bella-fb123d-analog-watch-men-boys/p/itmeatzuxe49328q?pid=WATEATZUJHKHH59V,"Franck Bella FB123D Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Franck Bella Wrist Watches""]",WATEATZUJHKHH59V,1645,1346,10-01-2022
http://www.flipkart.com/get-glamr-stylish-boots/p/itme3urgcjtwjfy6?pid=SHOE3URGKNFYXDGP,Get Glamr Stylish Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOE3URGKNFYXDGP,1999,529,10-01-2022
http://www.flipkart.com/skmei-dg1010-black-gold-sports-digital-watch-men-boys-women-girls/p/itme9mvxh3fwrqdf?pid=WATE9MVXJXHZHEJU,"Skmei DG1010-Black-Gold Sports Digital Watch  - For Men, Boys, Women, Girls","[""Watches >> Wrist Watches >> Skmei Wrist Watches""]",WATE9MVXJXHZHEJU,1299,929,10-01-2022
http://www.flipkart.com/magnum-footwear-lifestyle-boots/p/itmebywtygxvcugx?pid=SHOEBYWT3QBBAVXJ,Magnum Footwear Lifestyle Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOEBYWT3QBBAVXJ,5999,3629,10-01-2022
http://www.flipkart.com/pinza-blue-cowboy-boots/p/itme2hysy5hpabxh?pid=SHOE2HYSVYWTPJYF,Pinza Blue Cowboy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOE2HYSVYWTPJYF,3250,1830,10-01-2022
http://www.flipkart.com/magnum-footwear-lifestyle-boots/p/itmebyy446thypuv?pid=SHOEBYY4ZDWGQGEW,Magnum Footwear Lifestyle Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOEBYY4ZDWGQGEW,3599,2429,10-01-2022
http://www.flipkart.com/steppings-trendy-boots/p/itme96vfhfykfqun?pid=SHOE3S9BYE5XWSKS,Steppings Trendy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOE3S9BYE5XWSKS,2199,1129,10-01-2022
http://www.flipkart.com/eleganzza-denim-analog-watch-men-women-boys-girls-couple/p/itmebgpfqhnyekgr?pid=WATEBGPF2YN8ZRHN,"Eleganzza Denim Denim Analog Watch  - For Men, Women, Boys, Girls, Couple","[""Watches >> Wrist Watches >> Eleganzza Wrist Watches""]",WATEBGPF2YN8ZRHN,1299,529,10-01-2022
http://www.flipkart.com/catbird-boots/p/itmecd7yjv37ftka?pid=SHOECD7Y2Q4ZZRDF,CatBird Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOECD7Y2Q4ZZRDF,1399,1029,10-01-2022
http://www.flipkart.com/bruno-manetti-664-boots/p/itmec8ayfpyns4s8?pid=SHOEC8AYVM7NFH6U,Bruno Manetti 664 Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOEC8AYVM7NFH6U,2999,1229,10-01-2022
http://www.flipkart.com/lenco-bdblue-tango-analog-watch-men-boys/p/itmeb2fzbk8sfuzg?pid=WATEB2FZUMQU4W7R,"Lenco Bdblue Tango Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Lenco Wrist Watches""]",WATEB2FZUMQU4W7R,1499,629,10-01-2022
http://www.flipkart.com/get-glamr-designer-kuyal-boots/p/itmec8qgsnhn97gr?pid=SHOEC8QGS3H5XRKD,Get Glamr Designer Kuyal Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOEC8QGS3H5XRKD,2799,2269,10-01-2022
http://www.flipkart.com/zoop-c4040pp03-digital-watch-boys-girls/p/itmdg4882bjeetnx?pid=WATDG487YZTHEJZZ,"Zoop C4040PP03 Digital Watch  - For Boys, Girls","[""Watches >> Wrist Watches >> Zoop Wrist Watches""]",WATDG487YZTHEJZZ,750,780,10-01-2022
http://www.flipkart.com/shoppingekart-ds0222-rewin-pack-3-digital-watch-boys-girls-couple-men/p/itmebs5ydbq8c3zd?pid=WATEBS5YABDG6ART,"Shoppingekart DS0222 Rewin Pack of 3 Digital Watch  - For Boys, Girls, Couple, Men","[""Watches >> Wrist Watches >> Shoppingekart Wrist Watches""]",WATEBS5YABDG6ART,2399,509,10-01-2022
http://www.flipkart.com/stylistry-maxis-sa3228-25relong1712-boots/p/itme8kpz98sgtsgc?pid=SHOE2NKQ4NXGAMYX,Stylistry Maxis Sa3228-25relong1712 Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOE2NKQ4NXGAMYX,2299,1629,10-01-2022
http://www.flipkart.com/steppings-trendy-boots/p/itme96vegryd4gdn?pid=SHOE2FQCEAQCPYTS,Steppings Trendy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOE2FQCEAQCPYTS,1799,749,10-01-2022
http://www.flipkart.com/salt-n-pepper-14-475-dorthea-almond-boots/p/itme6zqdwtgzbjrh?pid=SHOE6ZQDA5GGTYHS,Salt N Pepper 14-475 Dorthea Almond Boots Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOE6ZQDA5GGTYHS,4695,3551,10-01-2022
http://www.flipkart.com/d-signer-681gm-wht-analog-watch-men-boys/p/itmeckycadzqydqw?pid=WATECKYCCMXUQQMS,"D'Signer 681GM_WHT Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> D'Signer Wrist Watches""]",WATECKYCCMXUQQMS,6995,6675,10-01-2022
http://www.flipkart.com/rialto-boots/p/itmed6k6vfuznrxu?pid=SHOED6K6Z3G5DCGB,Rialto Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOED6K6Z3G5DCGB,2495,1829,10-01-2022
http://www.flipkart.com/swissfire-205sm005-analog-watch-boys-men/p/itmeaypyymeczsay?pid=WATEAYPYDEVBVHJ6,"SwissFire 205SM005 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> SwissFire Wrist Watches""]",WATEAYPYDEVBVHJ6,2195,1237,10-01-2022
http://www.flipkart.com/get-glamr-designer-uggy-boots/p/itmec8qg57swhzu5?pid=SHOEC8QG3CV6YYDJ,Get Glamr Designer Uggy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOEC8QG3CV6YYDJ,3499,2829,10-01-2022
http://www.flipkart.com/avon-pk-741-analog-watch-men-boys/p/itmecymjvaachcjf?pid=WATECYMJPRYH8D3E,"A Avon PK_741 Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> A Avon Wrist Watches""]",WATECYMJPRYH8D3E,1299,669,10-01-2022
http://www.flipkart.com/carl-3346-1-cheetablue-boots/p/itme32ftfjq5z84a?pid=SHOE32FUXGXGBB5Z,Carl 3346-1-Cheetablue Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOE32FUXGXGBB5Z,2299,1179,10-01-2022
http://www.flipkart.com/logues-lgswatch61003pp-digi-yellow-sports-analog-digital-watch-boys/p/itme7yw5ayark9gp?pid=WATE7YW5EWWECCEM,Logues LGSWATCH61003PP DIGI YELLOW Sports Analog-Digital Watch  - For Boys,"[""Watches >> Wrist Watches >> Logues Wrist Watches""]",WATE7YW5EWWECCEM,1235,1265,10-01-2022
http://www.flipkart.com/kielz-ladies-boots/p/itmef9g7qztvgstb?pid=SHOEF9G7ZES6C5HU,Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOEF9G7ZES6C5HU,2799,1329,10-01-2022
