product_url,product_name,product_category_tree,pid,retail_price,discounted_price,,Date
http://www.flipkart.com/nishtaa-yellow-gold-22-k-ring/p/itmdwkzn4sft7tew?pid=RNGDWKZNWESHKECP,Nishtaa Yellow Gold 22 K Ring,"[""Jewellery >> Rings""]",RNGDWKZNWESHKECP,7180,6821,,01-11-2022
http://www.flipkart.com/cation-casual-3-4-sleeve-solid-women-s-top/p/itmeffngf6qcztyz?pid=TOPEFFNGY3ZWSEJG,Cation Casual 3/4 Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Cation Tops""]",TOPEFFNGY3ZWSEJG,899,899,,01-11-2022
http://www.flipkart.com/cation-casual-short-sleeve-solid-women-s-top/p/itmebwgfvh6kuedd?pid=TOPEBWGETHGUGJPB,Cation Casual Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Cation Tops""]",TOPEBWGETHGUGJPB,1099,600,,01-11-2022
http://www.flipkart.com/cation-casual-3-4-sleeve-solid-women-s-top/p/itme8zafaf4heu5e?pid=TOPE8ZAFEYMHKCW8,Cation Casual 3/4 Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Cation Tops""]",TOPE8ZAFEYMHKCW8,2800,849,,01-11-2022
http://www.flipkart.com/nishtaa-yellow-gold-22-k-ring/p/itmdwkzhewvbhw4z?pid=RNGDWKZHDVFQTDYV,Nishtaa Yellow Gold 22 K Ring,"[""Jewellery >> Rings""]",RNGDWKZHDVFQTDYV,7810,7420,,01-11-2022
http://www.flipkart.com/cation-casual-short-sleeve-3-4-sleeve-solid-women-s-top/p/itme8zafnjhf4fk8?pid=TOPE8ZAF4NMCGHR3,"Cation Casual Short Sleeve, 3/4 Sleeve Solid Women's Top","[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Cation Tops""]",TOPE8ZAF4NMCGHR3,2600,899,,01-11-2022
http://www.flipkart.com/shopaholic-casual-3-4-sleeve-solid-women-s-top/p/itmed5hsbbkervzw?pid=TOPED5HSV3ZQA6NR,Shopaholic Casual 3/4 Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Shopaholic Tops""]",TOPED5HSV3ZQA6NR,1299,499,,01-11-2022
http://www.flipkart.com/fundoo-t-full-sleeve-solid-men-s-sweatshirt/p/itmebhcqbxhsz76y?pid=SWSEBHCPTESRGGGR,Fundoo T Full Sleeve Solid Men's Sweatshirt,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweatshirts >> Fundoo T Sweatshirts""]",SWSEBHCPTESRGGGR,1998,749,,01-11-2022
http://www.flipkart.com/cation-casual-3-4-sleeve-printed-women-s-top/p/itmebxxa5rsa34fk?pid=TOPEBXXACS9EWGK3,Cation Casual 3/4 Sleeve Printed Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Cation Tops""]",TOPEBXXACS9EWGK3,1099,750,,01-11-2022
http://www.flipkart.com/fundoo-t-full-sleeve-solid-men-s-sweatshirt/p/itmebhcqu8wfgecz?pid=SWSEBHCP5YSCUU2S,Fundoo T Full Sleeve Solid Men's Sweatshirt,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweatshirts >> Fundoo T Sweatshirts""]",SWSEBHCP5YSCUU2S,1998,749,,01-11-2022
http://www.flipkart.com/goddess-women-casual-3-4-sleeve-solid-women-s-top/p/itme3ys5xfeb9a7h?pid=TOPE3YS5CWHKTAHS,Goddess Women Casual 3/4 Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Goddess Women Tops""]",TOPE3YS5CWHKTAHS,1199,719,,01-11-2022
http://www.flipkart.com/bownbee-girl-s-gathered-dress/p/itmee9zqhcnwdjbj?pid=DREEE9ZR9THTGUGY,BownBee Girl's Gathered Dress,"[""Clothing >> Kids' Clothing >> Girls Wear >> Dresses & Skirts >> Dresses >> BownBee Dresses""]",DREEE9ZR9THTGUGY,999,799,,01-11-2022
http://www.flipkart.com/fundoo-t-full-sleeve-solid-men-s-sweatshirt/p/itmebhcpdsqznhme?pid=SWSEBHCPAKWKRDPR,Fundoo T Full Sleeve Solid Men's Sweatshirt,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweatshirts >> Fundoo T Sweatshirts""]",SWSEBHCPAKWKRDPR,1998,749,,01-11-2022
http://www.flipkart.com/herberto-girl-s-a-line-dress/p/itme2y6dduh8dpkh?pid=DREE2Y6DCFHNHFBK,Herberto Girl's A-line Dress,"[""Clothing >> Kids' Clothing >> Girls Wear >> Dresses & Skirts >> Dresses >> Herberto Dresses""]",DREE2Y6DCFHNHFBK,1699,849,,01-11-2022
http://www.flipkart.com/fundoo-t-full-sleeve-solid-men-s-sweatshirt/p/itmebhcqnx6pc2pr?pid=SWSEBHCPZGHMBKJY,Fundoo T Full Sleeve Solid Men's Sweatshirt,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweatshirts >> Fundoo T Sweatshirts""]",SWSEBHCPZGHMBKJY,1998,749,,01-11-2022
http://www.flipkart.com/herberto-girl-s-a-line-dress/p/itme8mf7nrd37qnc?pid=DREE8MF7EUYUBNND,Herberto Girl's A-line Dress,"[""Clothing >> Kids' Clothing >> Girls Wear >> Dresses & Skirts >> Dresses >> Herberto Dresses""]",DREE8MF7EUYUBNND,2999,1499,,01-11-2022
http://www.flipkart.com/fundoo-t-full-sleeve-solid-men-s-sweatshirt/p/itmebhcpmncnqw7s?pid=SWSEBHCPHKWEUAAG,Fundoo T Full Sleeve Solid Men's Sweatshirt,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweatshirts >> Fundoo T Sweatshirts""]",SWSEBHCPHKWEUAAG,1998,749,,01-11-2022
http://www.flipkart.com/herberto-girl-s-high-low-dress/p/itme3kkwvnsu9yzx?pid=DREE3KKW8HYZJHZY,Herberto Girl's High Low Dress,"[""Clothing >> Kids' Clothing >> Girls Wear >> Dresses & Skirts >> Dresses >> Herberto Dresses""]",DREE3KKW8HYZJHZY,1899,1025,,01-11-2022
http://www.flipkart.com/fundoo-t-full-sleeve-solid-men-s-sweatshirt/p/itmebhcpyej2g5a2?pid=SWSEBHCP9JC4GQKT,Fundoo T Full Sleeve Solid Men's Sweatshirt,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweatshirts >> Fundoo T Sweatshirts""]",SWSEBHCP9JC4GQKT,1998,749,,01-11-2022
http://www.flipkart.com/herberto-girl-s-a-line-dress/p/itmdvf2wquauscyt?pid=DREDVF2W9PTRAEHK,Herberto Girl's A-line Dress,"[""Clothing >> Kids' Clothing >> Girls Wear >> Dresses & Skirts >> Herberto Dresses & Skirts""]",DREDVF2W9PTRAEHK,1599,649,,01-11-2022
http://www.flipkart.com/herberto-girl-s-a-line-dress/p/itme8mf7ndeyns6q?pid=DREE8MF7XE97CPW7,Herberto Girl's A-line Dress,"[""Clothing >> Kids' Clothing >> Girls Wear >> Dresses & Skirts >> Dresses >> Herberto Dresses""]",DREE8MF7XE97CPW7,2999,1619,,01-11-2022
http://www.flipkart.com/jewels-jaipur-gold-ruby-yellow-14-k-ring/p/itmeb2pg9mqaubux?pid=RNGEB2PGDCAQPBVJ,Jewels Of Jaipur Gold Ruby Yellow Gold 14 K Ring,"[""Jewellery >> Rings""]",RNGEB2PGDCAQPBVJ,11076,9414,,01-11-2022
http://www.flipkart.com/jewels-jaipur-gold-ruby-yellow-14-k-ring/p/itmeb2pgqrza87ab?pid=RNGEB2PG3Q5RKDW6,Jewels Of Jaipur Gold Ruby Yellow Gold 14 K Ring,"[""Jewellery >> Rings""]",RNGEB2PG3Q5RKDW6,11587,9848,,01-11-2022
http://www.flipkart.com/bluestone-ziva-yellow-gold-diamond-emerald-18-k-ring/p/itmea9zvcntxpnfd?pid=RNGEA9ZVXZGZGDG4,"BlueStone The Ziva Yellow Gold Diamond, Emerald 18 K Ring","[""Jewellery >> Rings""]",RNGEA9ZVXZGZGDG4,31300,28313,,01-11-2022
http://www.flipkart.com/united-colors-benetton-striped-round-neck-casual-women-s-sweater/p/itmeczmbrz7m5bx3?pid=SWTECZMBGZPVRTQS,United Colors of Benetton Striped Round Neck Casual Women's Sweater,"[""Clothing >> Women's Clothing >> Winter & Seasonal Wear >> Sweaters & Pullovers >> United Colors of Benetton Sweaters & Pullovers""]",SWTECZMBGZPVRTQS,2499,1624,,01-11-2022
http://www.flipkart.com/united-colors-benetton-solid-round-neck-casual-women-s-sweater/p/itmecxphwj6wzy5m?pid=SWTECXPHFVTHWJF7,United Colors of Benetton Solid Round Neck Casual Women's Sweater,"[""Clothing >> Women's Clothing >> Winter & Seasonal Wear >> Sweaters & Pullovers >> United Colors of Benetton Sweaters & Pullovers""]",SWTECXPHFVTHWJF7,2499,1624,,01-11-2022
http://www.flipkart.com/tapyti-casual-full-sleeve-solid-women-s-top/p/itme3nvyffwcvnk3?pid=TOPE3NVYHZNAEPHA,Tapyti Casual Full Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Tapyti Tops""]",TOPE3NVYHZNAEPHA,845,420,,01-11-2022
http://www.flipkart.com/only-party-short-sleeve-solid-women-s-top/p/itmebabfzvp38pgh?pid=TOPEBABFMZ2GSC2G,Only Party Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Only Tops""]",TOPEBABFMZ2GSC2G,1495,1495,,01-11-2022
http://www.flipkart.com/elisabetta-bartolli-party-short-sleeve-solid-women-s-top/p/itme4qk4u2a4dfbg?pid=TOPE4QK44FNX6PY5,Elisabetta Bartolli Party Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Elisabetta Bartolli Tops""]",TOPE4QK44FNX6PY5,2095,2095,,01-11-2022
http://www.flipkart.com/tapyti-casual-short-sleeve-solid-women-s-top/p/itmeyy5yfahudkz4?pid=TOPEYY5YK3WEGGXX,Tapyti Casual Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Tapyti Tops""]",TOPEYY5YK3WEGGXX,815,408,,01-11-2022
http://www.flipkart.com/msl-women-flats/p/itmednfgzku2qezh?pid=SNDEDNFG7ZNRNAGM,MSL Women Flats,"[""Footwear >> Women's Footwear >> Flats""]",SNDEDNFG7ZNRNAGM,499,499,,01-11-2022
