product_url,product_name,product_category_tree,pid,retail_price,discounted_price,Date
http://www.flipkart.com/belle-gambe-winter-boots/p/itmefzxrgg9mgwxc?pid=SHOEFZXRNYJKPPYG,Belle Gambe Winter Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOEFZXRNYJKPPYG,3499,1695,01-11-2022
http://www.flipkart.com/hala-red-black-trendy-digital-watch-boys-girls-men/p/itmeauab79jvz5jd?pid=WATEAUABHVPGRBAS,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men","[""Watches >> Wrist Watches >> Hala Wrist Watches""]",WATEAUABHVPGRBAS,399,159,01-11-2022
http://www.flipkart.com/kielz-ladies-boots/p/itme2zngww36smbh?pid=SHOE2ZNGUCA4DHHP,Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOE2ZNGUCA4DHHP,2499,1249,01-11-2022
http://www.flipkart.com/kielz-boots/p/itmecs7d44svzfqr?pid=SHOECS7EXZXZSWHW,Kielz Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOECS7EXZXZSWHW,2499,1999,01-11-2022
http://www.flipkart.com/franck-bella-fb74c-analog-watch-boys-men/p/itme9m3ruhhdgkqs?pid=WATE9M3RRRKZK4FD,"Franck Bella FB74C Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Franck Bella Wrist Watches""]",WATE9M3RRRKZK4FD,1299,780,01-11-2022
http://www.flipkart.com/carlton-london-boots/p/itmdzzzyg9rnpven?pid=SHOECB92BGNGSZGZ,Carlton London Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOECB92BGNGSZGZ,2295,2295,01-11-2022
http://www.flipkart.com/ridas-apl-led-black-apple-shape-digital-watch-boys/p/itme695ydcsmjrfn?pid=WATE695YXNTDWTE8,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,"[""Watches >> Wrist Watches >> Ridas Wrist Watches""]",WATE695YXNTDWTE8,349,249,01-11-2022
http://www.flipkart.com/shuz-touch-boots/p/itmecjd56gybhhpk?pid=SHOECJD5WVAGAJEH,Shuz Touch Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOECJD5WVAGAJEH,4495,4495,01-11-2022
http://www.flipkart.com/la-briza-andria-boots/p/itmey8mdgz8a5j2h?pid=SHOEFAJ5TYC2JMCH,La Briza Andria Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOEFAJ5TYC2JMCH,2099,2099,01-11-2022
http://www.flipkart.com/skmei-1070blk-sports-analog-digital-watch-men-boys/p/itme8b5kfyzqabtj?pid=WATE8B5KWSTMZK7P,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Skmei Wrist Watches""]",WATE8B5KWSTMZK7P,2345,1179,01-11-2022
http://www.flipkart.com/kielz-ladies-boots/p/itmef9g8affqyetx?pid=SHOEF9G8NSYGZW8W,Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOEF9G8NSYGZW8W,1899,999,01-11-2022
